,county_name,state_id,Electricity
0,Abbeville,SC,"{'South Carolina Electric&Gas Company', 'City of Abbeville - (SC)', 'Laurens Electric Coop, Inc', 'Little River Electric Coop Inc', 'Duke Energy Carolinas, LLC', 'City of Due West - (SC)'}"
1,Acadia,LA,"{'Cleco Power LLC', 'Southwest Louisiana E M C', 'Entergy Louisiana LLC', 'City of Rayne - (LA)'}"
2,Accomack,VA,{'A & N Electric Coop'}
3,Ada,ID,{'Idaho Power Co'}
4,Adair,IA,"{'Guthrie County Rural E C A', 'City of Greenfield - (IA)', 'WAPA-- Western Area Power Administration', 'City of Fontanelle - (IA)', 'Southwest Iowa Rural Elec Coop', 'Interstate Power and Light Co', 'WPPI Energy', 'City of Stuart - (IA)', 'MidAmerican Energy Co', 'Waverly Municipal Elec Utility', 'City of Orient - (IA)', 'Farmers Electric Coop, Inc - (IA)'}"
5,Adair,KY,"{'Kentucky Utilities Co', 'East Kentucky Power Coop, Inc', 'Tri-County Elec Member Corp', 'South Kentucky Rural E C C', 'Farmers Rural Electric Coop Corp - (KY)', 'Taylor County Rural E C C'}"
6,Adair,MO,"{'Tri-County Electric Coop Assn', 'Macon Electric Coop', 'Lewis County Rural E C A', 'Union Electric Co - (MO)'}"
7,Adair,OK,"{'City of Stilwell - (OK)', 'Northeast Oklahoma Electric Co', 'Ozarks Electric Coop Corp - (AR)', 'Arkansas Valley Elec Coop Corp', 'City of Siloam Springs - (AR)', 'Lake Region Electric Coop, Inc - (OK)', 'Oklahoma Gas & Electric Co', 'Cookson Hills Elec Coop, Inc'}"
8,Adams,CO,"{'Intermountain Rural Elec Assn', 'United Power, Inc', 'Public Service Co of Colorado', 'WAPA-- Western Area Power Administration', 'Morgan County Rural Elec Assn'}"
9,Adams,IA,"{'City of Corning - (IA)', 'MidAmerican Energy Co', 'Southwest Iowa Rural Elec Coop', 'Interstate Power and Light Co'}"
10,Adams,ID,{'Idaho Power Co'}
11,Adams,IL,"{'Adams Electric Coop', 'Prairie Power, Inc', 'Western Illinois Elec Coop', 'Illinois Rural Electric Coop', 'Ameren Illinois Company'}"
12,Adams,IN,"{'Heartland REMC', 'Paulding-Putman Elec Coop, Inc', 'Indiana Michigan Power Co', 'Jay County Rural E M C'}"
13,Adams,MS,"{'Southwest Mississippi E P A', 'Entergy Mississippi Inc'}"
