,name,existence,Gas,Electricity,water
0,A & B Propane,1.0,,,
1,Adirondack Services,1.0,,,
2,Aes Hawaii,1.0,,,
3,Alabaster Water Board,1.0,,,Alabaster Water Board
4,Alaska Electric Light & Power,1.0,,Alaska Electric Light & Power,
5,Alcorn County Electric Power Association,1.0,,Alcorn County Electric Power Association,
6,Allete,1.0,,,
7,Alliant Energy,1.0,,,
8,American Heating Service,1.0,,,
9,American Water,1.0,,,American Water
10,Amicalola Electric Membership,1.0,,Amicalola Electric Membership,
11,Anaheim Utilities,1.0,,,
12,Anchorage Water & Wastewater Utility,1.0,,,Anchorage Water & Wastewater Utility
13,Anderson Mill Mud,1.0,,,
14,Aqua America,1.0,,,
15,Aqua Water Supply,1.0,,,Aqua Water Supply
16,Aquarion,1.0,,,
17,"Arkansas Electric Cooperatives, Electrical Equipment Department",1.0,,"Arkansas Electric Cooperatives, Electrical Equipment Department",
18,Arkansas Valley Electric Co-Op,1.0,,Arkansas Valley Electric Co-Op,
19,Artesian Water Company,1.0,,,Artesian Water Company
20,Ashokan Water Services,1.0,,,Ashokan Water Services
21,Assurance Power Systems,1.0,,,
22,Atlantic Electric Supply,1.0,,Atlantic Electric Supply,
23,Atmos Energy,1.0,,,
24,Auburn Water System,1.0,,,Auburn Water System
25,Aurora Energy,1.0,,,
26,Avista Utilities,1.0,,,
27,Baker's Gas & Welding Supplies,1.0,Baker's Gas & Welding Supplies,,
28,Baldor Electric Co.,1.0,,Baldor Electric Co.,
29,Baldor Electric Company,1.0,,Baldor Electric Company,
30,Barton County Electric Cooperative,1.0,,Barton County Electric Cooperative,
31,Baton Rouge Water Company,1.0,,,Baton Rouge Water Company
32,Beauregard Electric Cooperative,1.0,,Beauregard Electric Cooperative,
33,Beltrami Electric Cooperative,1.0,,Beltrami Electric Cooperative,
34,Benton PUD,1.0,,,
35,Berkshire Gas Co.,1.0,Berkshire Gas Co.,,
36,Blue Stakes of Utah Utility Notification Center,1.0,,,
37,Board of Public Utilities,1.0,,,
38,Board Of Public Utilities,1.0,,,
39,Board Of Public Works,1.0,,,
40,Bowling Green Municipal Utilities,1.0,,,
41,Broad River Electric Co-Operative,1.0,,Broad River Electric Co-Operative,
42,Brooks Gas Co.,1.0,Brooks Gas Co.,,
43,Brownsville Public Utilities Board,1.0,,,
44,Brunswick Sewer District,1.0,,,Brunswick Sewer District
45,Brushy Creek Municiple Utility District,1.0,,,
46,Bryan Texas Utilities,1.0,,,
47,Cairo Public Utility Co.,1.0,,,
48,Calif Water Service Co.,1.0,,,Calif Water Service Co.
49,California Water Service Co.,1.0,,,California Water Service Co.
50,California Water Service Company,1.0,,,California Water Service Company
51,Cape Fear Public Utility Authority,1.0,,,
52,Carmichael Water District,1.0,,,Carmichael Water District
53,Cascade Natural Gas,1.0,Cascade Natural Gas,,
54,Casitas Municipal Water Dist,1.0,,,Casitas Municipal Water Dist
55,Cass County Electric Cooperative,1.0,,Cass County Electric Cooperative,
56,Cedar Falls Utilities,1.0,,,
57,Central Arkansas Water,1.0,,,Central Arkansas Water
58,Central Basin Municipal Water District,1.0,,,Central Basin Municipal Water District
59,Central Electric Cooperative,1.0,,Central Electric Cooperative,
60,Central Electric Membership,1.0,,Central Electric Membership,
61,Central GA Electric Membership Corporation,1.0,,Central GA Electric Membership Corporation,
62,Central Hudson Gas & Electric Corporation,1.0,Central Hudson Gas & Electric Corporation,Central Hudson Gas & Electric Corporation,
63,Central Maine Power Co.,1.0,,,
64,Chickasaw Electric Cooperative,1.0,,Chickasaw Electric Cooperative,
65,Choctawhatchee Electric Cooperative,1.0,,Choctawhatchee Electric Cooperative,
66,Choptank Electric Cooperative,1.0,,Choptank Electric Cooperative,
67,City of Madison Water Utility,1.0,,,City of Madison Water Utility
68,City Of Manchester Water Works,1.0,,,City Of Manchester Water Works
69,City Utilities of Springfield,1.0,,,
70,Clark County Remc,1.0,,,
71,Clark Public Utilities,1.0,,,
72,Clarksville Light & Water,1.0,,,Clarksville Light & Water
73,Clay Electric Co-Op,1.0,,Clay Electric Co-Op,
74,Clayton County Water Authority,1.0,,,Clayton County Water Authority
75,Cleveland Public Power,1.0,,,
76,Cleveland Utilities,1.0,,,
77,Cleveland Water Department,1.0,,,Cleveland Water Department
78,Clinton Utilities Board,1.0,,,
79,Coachella Valley Water District,1.0,,,Coachella Valley Water District
80,Coastal Electric Coop,1.0,,Coastal Electric Coop,
81,Cobb County Water Department,1.0,,,Cobb County Water Department
82,Cobb Electric Membership,1.0,,Cobb Electric Membership,
83,Colorado Springs Utilities,1.0,,,
84,Columbia Gas of Kentucky,1.0,Columbia Gas of Kentucky,,
85,Columbia Gas of Massachusetts,1.0,Columbia Gas of Massachusetts,,
86,Columbia Power & Water Systems,1.0,,,Columbia Power & Water Systems
87,Columbus Public Utilities Department,1.0,,,
