Electricity,ID #
3 Phases Energy Services,21093
4-County Electric Power Assn,6641
A & N Electric Coop (Virginia),84
AEP Generating Company,343
AEP Ohio,4062
AEP Texas Central Company,3278
AEP Texas North Company,20404
AES Eastern Energy LP,134
AGC Division of APG Inc,261
AP Holdings LLC,56571
AP Holdings LLC (New York),56571
"APN Starfirst, L.P.",50153
"APN Starfirst, L.P. (Illinois)",50153
"APN Starfirst, L.P. (Ohio)",50153
"APN Starfirst, L.P. (Texas)",50153
APNA Energy,55841
ARCO Products Co-Watson,867
"Accent Energy Holdings, LLC",54872
"Accent Energy Holdings, LLC (New York)",54872
"Accent Energy Holdings, LLC (Texas)",54872
Access Energy Coop,16611
Adams Electric Coop,97
Adams Electric Cooperative Inc,40220
"Adams Rural Electric Coop, Inc",118
Adams-Columbia Electric Coop,108
Adrian Public Utilities Comm,150
Agralite Electric Coop,155
Aguila Irrigation District,737
"Agway Energy Services, LLC",113
Aiken Electric Coop Inc,162
Aitkin Public Utilities Comm,174
Ajo Improvement Co,176
Ak-Chin Electric Utility Authority,25866
Akiachak Native Community Electric Co,192
Alabama Municipal Elec Authority,40614
Alabama Power Co,195
Alamo Power District No 3,191
Alaska Electric & Energy Coop,49803
Alaska Electric Light&Power Co,213
Alaska Energy Authority,42889
Alaska Power and Telephone Co,219
"Alaska Village Elec Coop, Inc",221
Albany Water Gas & Light Comm,230
Albemarle Electric Member Corp,240
Albertville Municipal Utils Bd,241
Alcorn County Elec Power Assn,276
"Alder Mutual Light Co, Inc",287
"Alfalfa Electric Coop, Inc",296
"Alfalfa Electric Coop, Inc (Kansas)",296
Alger-Delta Coop Electric Assn,305
Algoma Utility Comm,307
"Allamakee-Clayton El Coop, Inc",329
Allegheny Electric Coop Inc,332
Allegheny Energy Supply Co LLC,23279
Allegheny Energy Supply Co LLC (Maryland),23279
Alliance Power Co LLC,49818
Alliance Star Energy LLC,56929
Alpena Power Co,392
Altamaha Electric Member Corp,407
Amana Society Service Co,471
"Ambit Energy, L.P.",56212
"Ambit Energy, L.P. (Maryland)",56212
"Ambit Energy, L.P. (New York)",56212
Ameren Energy Marketing,19436
Ameren Energy Marketing (Illinois),970
Ameren Illinois Company,56697
AmeriPower LLC,50156
"American Electric Power Co., Inc.",343
"American Mun Power-Ohio, Inc",40577
American PowerNet,49730
American PowerNet (District of Columbia),49730
American PowerNet (Maine),49730
American PowerNet (Maryland),49730
American PowerNet (New Jersey),49730
American Samoa Power Authority,40429
American Transmission Systems Inc,56162
Amicalola Electric Member Corp,562
Amigo Energy,49853
Anadarko Public Works Auth,588
Anchorage Municipal Light and Power,599
Aniak Light & Power Co Inc,4959
Anoka Electric Coop,689
Anthracite Power & Light,56220
Anza Electric Coop Inc,694
Appalachian Electric Coop,727
Appalachian Power Co,733
Appalachian Power Co (Virginia),733
Appalachian Power Co (West Virginia),733
Applied Energy Inc,745
Aquila Inc,12698
Aquila Inc (Missouri),12698
Arab Electric Coop Inc,750
Arizona Electric Pwr Coop Inc,796
Arizona Power Authority,798
Arizona Public Service Co,803
"Ark Valley Elec Coop Assn, Inc",40208
Arkansas Electric Coop Corp,807
Arkansas River Power Authority,712
Arkansas Valley Elec Coop Corp,817
"Arrowhead Electric Coop, Inc",887
"Ashley Chicot Elec Coop, Inc",925
"Associated Electric Coop, Inc",924
Atchison-Holt Electric Coop,942
Atchison-Holt Electric Coop (Iowa),942
Athens Utility Board,947
Atlantic City Electric Co,963
Atlantic Municipal Utilities,965
Atmautluak Tribal Utilities,878
Auburn Board of Public Works,993
Austin Energy,1015
Avista Corp,20169
Avista Corp (Idaho),20169
Avista Corp (Montana),20169
"Avista Turbine Power, Inc",1049
BARC Electric Coop Inc,1062
BP Energy Company,540
BP Energy Company (Washington),540
"Backyard Farms Energy, LLC",56522
Badger Power Marketing Auth,1572
Bagley Public Utilities Comm,1101
Bailey County Elec Coop Assn,1169
